2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 56 - loglikelihood=-14.258637728842642	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 57 - loglikelihood=-14.25494882227537	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 58 - loglikelihood=-14.25138596131828	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 59 - loglikelihood=-14.247942793939213	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 60 - loglikelihood=-14.244613387885847	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 61 - loglikelihood=-14.241392196570837	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 62 - loglikelihood=-14.238274028230895	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 63 - loglikelihood=-14.235254017998907	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 64 - loglikelihood=-14.232327602573116	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 65 - loglikelihood=-14.22949049720587	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 66 - loglikelihood=-14.226738674767844	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 67 - loglikelihood=-14.224068346672588	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 68 - loglikelihood=-14.22147594547134	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 69 - loglikelihood=-14.218958108949918	0.4166666666666667
